climate_station_id,station_name,station_name_full,longitude_deg,latitude_deg,province_first,city_first,station_facility_count,mean_match_distance_km,state_trend_quadrant,dominant_process_type_p,dominant_process_name_cn,dominant_process_share_pct,station_total_process_carbon_tco2_year,station_total_facility_count,station_total_wastewater_m3_year,high_pond_lagoon,low_conventional,medium_oxidation_sbr,high_pond_lagoon_carbon_share_pct,low_conventional_carbon_share_pct,medium_oxidation_sbr_carbon_share_pct,station_total_process_carbon_10k_tco2_year
58370,浦东,浦东 type: 一般站 Lat: 31.233333 Lon: 121.533333 altitude: 4.4 alt_qiya: 8.1 县级: 浦东新区 县级码: 310115 地级: 上海市 省级: 上海市,121.5333,31.2333,上海市,,6,15.543366666666666,nonpositive_decline,low_conventional,常规工艺,95.8192821690428,197005.6979499491,6,1428354500.0,0.0,188769.44560775388,8236.252342195208,0.0,95.8192821690428,4.180717830957201,19.70056979499491
59289,东莞,东莞 type: 基本站 Lat: 22.966667 Lon: 113.733333 altitude: 56.0 alt_qiya: 56.8 县级: 东莞市 县级码: 0 地级: 东莞市 省级: 广东省,113.7333,22.9667,广东省,,25,31.880092,nonpositive_decline,low_conventional,常规工艺,61.80276902590731,85526.9309943759,25,722189000.0,91.92552032162048,52858.011617401266,32576.99385665301,0.1074813737063304,61.80276902590731,38.089749600386355,8.55269309943759
54433,朝阳,朝阳 type: 一般站 Lat: 39.95 Lon: 116.5 altitude: 35.3 alt_qiya: 36.3 县级: 朝阳区 县级码: 110105 地级: 北京市 省级: 北京市,116.5,39.95,北京市,,6,8.3481,positive_increase,low_conventional,常规工艺,80.62909545129723,84490.00239017064,6,424312500.0,0.0,68123.524673974,16366.477716196652,0.0,80.62909545129723,19.37090454870278,8.449000239017064
58354,无锡,无锡 type: 基本站 Lat: 31.616667 Lon: 120.35 altitude: 3.2 alt_qiya: 4.2 县级: 锡山区 县级码: 320205 地级: 无锡市 省级: 江苏省,120.35,31.6167,江苏省,,20,11.87843,positive_decline,medium_oxidation_sbr,氧化沟/SBR,50.163497901251574,75872.23375393623,20,345290000.0,157.6889297952137,37654.37843735253,38060.16638678849,0.2078348323137815,49.62866726643464,50.163497901251574,7.587223375393624
59298,惠阳,惠阳 type: 基本站 Lat: 23.066667 Lon: 114.366667 altitude: 108.5 alt_qiya: 109.3 县级: 惠城区 县级码: 441302 地级: 惠州市 省级: 广东省,114.3667,23.0667,广东省,,19,35.50064210526316,nonpositive_decline,low_conventional,常规工艺,50.14518130666258,75833.4769507841,19,581299000.0,0.0,38026.83450811686,37806.64244266724,0.0,50.14518130666258,49.85481869333743,7.58334769507841
54342,沈阳,沈阳 type: 基本站 Lat: 41.733333 Lon: 123.516667 altitude: 49.0 alt_qiya: 49.5 县级: 浑南区 县级码: 210112 地级: 沈阳市 省级: 辽宁省,123.5167,41.7333,辽宁省,,5,12.16988,positive_decline,low_conventional,常规工艺,90.53708714590064,65457.29447420224,5,287072500.0,0.0,59263.12774145728,6194.166732744957,0.0,90.53708714590064,9.462912854099365,6.545729447420224
58237,浦口,浦口 type: 一般站 Lat: 32.066667 Lon: 118.583333 altitude: 46.6 alt_qiya: 47.7 县级: 浦口区 县级码: 320111 地级: 南京市 省级: 江苏省,118.5833,32.0667,江苏省,,2,11.9973,positive_decline,low_conventional,常规工艺,100.0,58942.571037856425,2,371570000.0,0.0,58942.571037856425,0.0,0.0,100.0,0.0,5.894257103785643
54161,长春,长春 type: 基准站 Lat: 43.9 Lon: 125.216667 altitude: 236.8 alt_qiya: 237.8 县级: 绿园区 县级码: 220106 地级: 长春市 省级: 吉林省,125.2167,43.9,吉林省,,6,9.3805,positive_decline,low_conventional,常规工艺,51.159751839419975,57728.37766245074,6,211955500.0,0.0,29533.69475303295,28194.68290941779,0.0,51.159751839419975,48.84024816058003,5.772837766245074
58321,合肥,合肥 type: 基本站 Lat: 31.783333 Lon: 117.3 altitude: 27.0 alt_qiya: 28.200001 县级: 包河区 县级码: 340111 地级: 合肥市 省级: 安徽省,117.3,31.7833,安徽省,,6,9.016433333333334,positive_decline,low_conventional,常规工艺,71.86305087262316,56197.038722666126,6,255865000.0,0.0,40384.90652617729,15812.13219648883,0.0,71.86305087262316,28.136949127376838,5.619703872266612
58453,绍兴,绍兴 type: 一般站 Lat: 30.066667 Lon: 120.5 altitude: 7.9 alt_qiya: 10.7 县级: 柯桥区 县级码: 330603 地级: 绍兴市 省级: 浙江省,120.5,30.0667,浙江省,,3,16.100133333333336,nonpositive_decline,low_conventional,常规工艺,100.0,56060.61251033226,3,427926000.0,0.0,56060.61251033226,0.0,0.0,100.0,0.0,5.606061251033227
54662,大连,大连 type: 基本站 Lat: 38.9 Lon: 121.633333 altitude: 91.5 alt_qiya: 92.5 县级: 中山区 县级码: 210202 地级: 大连市 省级: 辽宁省,121.6333,38.9,辽宁省,,11,11.102363636363636,positive_decline,medium_oxidation_sbr,氧化沟/SBR,85.8157422233301,56017.937313555165,11,206699500.0,0.0,7945.728629728017,48072.20868382715,0.0,14.184257776669899,85.8157422233301,5.601793731355516
58343,常州,常州 type: 基本站 Lat: 31.883333 Lon: 119.983333 altitude: 4.4 alt_qiya: 5.5 县级: 新北区 县级码: 320411 地级: 常州市 省级: 江苏省,119.9833,31.8833,江苏省,,19,14.858647368421051,positive_decline,medium_oxidation_sbr,氧化沟/SBR,63.8980682125507,55771.98880340297,19,229439000.0,161.22071809772186,19973.54463621068,35637.22344909457,0.2890711297135684,35.81286065773573,63.8980682125507,5.577198880340297
59288,南海,南海 type: 一般站 Lat: 23.15 Lon: 113.016667 altitude: 30.1 alt_qiya: 30.9 县级: 南海区 县级码: 440605 地级: 佛山市 省级: 广东省,113.0167,23.15,广东省,,16,15.78261875,nonpositive_decline,low_conventional,常规工艺,61.03402986327634,55471.011670418055,16,485559500.0,0.0,33856.19382838446,21614.817842033593,0.0,61.03402986327634,38.965970136723655,5.547101167041806
58349,苏州,苏州 type: 一般站 Lat: 31.416667 Lon: 120.566667 altitude: 8.0 alt_qiya: 9.1 县级: 相城区 县级码: 320507 地级: 苏州市 省级: 江苏省,120.5667,31.4167,江苏省,,19,12.493205263157895,positive_decline,medium_oxidation_sbr,氧化沟/SBR,58.876033254134164,54863.95567994607,19,241192000.0,333.77431887362906,22228.46057041396,32301.720790658477,0.6083672143888644,40.51559953147697,58.876033254134164,5.486395567994607
54511,北京,北京 type: 基本站 Lat: 39.8 Lon: 116.466667 altitude: 31.3 alt_qiya: 32.3 县级: 大兴区 县级码: 110115 地级: 北京市 省级: 北京市,116.4667,39.8,北京市,,4,7.090425,positive_increase,low_conventional,常规工艺,79.35556519214624,51305.93688482075,4,255463500.0,0.0,40714.11619207534,10591.820692745414,0.0,79.35556519214624,20.644434807853752,5.130593688482075
57513,渝北,渝北 type: 一般站 Lat: 29.733333 Lon: 106.616667 altitude: 464.7 alt_qiya: 465.5 县级: 渝北区 县级码: 500112 地级: 重庆市 省级: 重庆市,106.6167,29.7333,重庆市,,4,10.907325,nonpositive_decline,low_conventional,常规工艺,90.76531863669513,50142.320136704206,4,336238000.0,0.0,45511.836643911316,4630.483492792891,0.0,90.76531863669513,9.234681363304876,5.01423201367042
53789,栾城,栾城 type: 一般站 Lat: 37.883333 Lon: 114.633333 altitude: 52.9 alt_qiya: 54.0 县级: 栾城区 县级码: 130111 地级: 石家庄市 省级: 河北省,114.6333,37.8833,河北省,,4,10.32365,positive_decline,low_conventional,常规工艺,62.168934955945865,49476.060440275425,4,208415000.0,0.0,30758.739833879292,18717.32060639613,0.0,62.168934955945865,37.83106504405413,4.947606044027543
